"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"Weekschildbirth_8wPP","numeric",2401,0.16195462478185,81,9.29358005592908,8.71428571428571,8.71428571428571,NA,3.28124561679817,NA,1.28571428571429,42,40.7142857142857,7.4740550710535,74.8027955916264,64.7584602230289,324.196507634546,NA,NA
"Delivery_8wPP","factor",2401,0.16195462478185,4,NA,NA,1116,"Spontaneous",NA,0.633394283688197,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Episiotomy_8wPP","factor",2320,0.19022687609075,3,NA,NA,1824,"No",NA,0.336171224732461,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rupture_8wPP","factor",2321,0.189877835951134,3,NA,NA,1293,"Yes",NA,0.493482043296125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Durationdilated_8wPP","numeric",2210,0.228621291448517,155,8.02621417797888,5.5,5.5,NA,8.63176770528507,NA,0,151,151,4.52401854229847,43.4419562030175,45.79281921277,219.96226628662,NA,NA
"Durationpush_8wPP","numeric",2206,0.230017452006981,113,30.7655167724388,18,18,NA,35.3771622770384,NA,0,480,480,2.50348088844517,24.0179771958677,14.2907522315767,68.5825135781268,NA,NA
"Spinalpuncture_8wPP","factor",2394,0.164397905759162,4,NA,NA,1297,"No",NA,0.541541475521162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Painkiller_8wPP","factor",2397,0.163350785340314,3,NA,NA,2021,"No",NA,0.264513648596694,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Planneddeliv_8wPP","factor",2402,0.161605584642234,3,NA,NA,1474,"Yes",NA,0.474164951355414,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Complaintspreg_8wPP","factor",2383,0.168237347294939,3,NA,NA,1817,"No",NA,0.362204022794698,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Illness_8wPP","factor",2383,0.168237347294939,3,NA,NA,1623,"No",NA,0.4344242130534,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkup_8wPP","factor",2383,0.168237347294939,3,NA,NA,1953,"Yes",NA,0.295768970619803,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sexdetermination_12","factor",2764,0.0352530541012216,5,NA,NA,2234,"Yes",NA,0.327249670667524,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sexpreference_12","factor",2764,0.0352530541012216,4,NA,NA,2231,"No preference",NA,0.32686876545873,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pregnancyloss_12","factor",2764,0.0352530541012216,3,NA,NA,2000,"No",NA,0.400015916863708,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prevdelivery_12","factor",2759,0.0369982547993019,3,NA,NA,1441,"No",NA,0.499006250721715,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samepartner_12","factor",1317,0.540314136125654,3,NA,NA,1548,NA,NA,0.068827187719265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Recentmiscarriage_12","factor",1317,0.540314136125654,3,NA,NA,1548,NA,NA,0.31319426067274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Problemsprevpreg_diabetes_12","factor",975,0.659685863874346,3,NA,NA,1890,NA,NA,0.126220118343195,NA,NA,NA,NA,NA,NA,NA,NA,NA
